"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"1","cquinl2","isds1102s3","cquinl2_e1b_1536182581862.xlsx","2018-09-05 21:12:26","e1","b","100.0","e1b"
"2","cquinl2","isds1102s3","cquinl2_e1b_1536182748442.xlsx","2018-09-05 21:15:12","e1","b","100.0","e1b"
"3","bparks3","isds1102s3","bparks3_e1a_1536182513864.xlsx","2018-09-05 21:11:17","e1","a","100.0","e1a"
"4","bparks3","isds1102s3","bparks3_e1b_1536182926714.xlsx","2018-09-05 21:18:11","e1","b","100.0","e1b"
"5","bparks3","isds1102s3","bparks3_e1d_1536551763967.xlsx","2018-09-10 03:45:14","e1","d","83.3333333333","e1d"
"6","jcol117","isds1102s3","jcol117_e1a_1536182119879.xlsx","2018-09-05 21:04:43","e1","a","75.0","e1a"
"7","jcol117","isds1102s3","jcol117_e1a_1536182453576.xlsx","2018-09-05 21:10:18","e1","a","100.0","e1a"
"8","jcol117","isds1102s3","jcol117_e1b_1536608832202.xlsx","2018-09-10 19:36:20","e1","b","100.0","e1b"
"9","jcol117","isds1102s3","jcol117_e1c_1536609927670.xlsx","2018-09-10 19:54:36","e1","c","95.0","e1c"
"10","jhar239","isds1102s3","jhar239_e1a_1536183079265.xlsx","2018-09-05 21:20:43","e1","a","93.75","e1a"
"11","mdoyl11","isds1102s3","mdoyl11_e1a_1536182638860.xlsx","2018-09-05 21:13:22","e1","a","93.75","e1a"
"12","mdoyl11","isds1102s3","mdoyl11_e1a_1536182927884.xlsx","2018-09-05 21:18:12","e1","a","93.75","e1a"
"13","mdoyl11","isds1102s3","mdoyl11_e1a_1536184519428.xlsx","2018-09-05 21:44:43","e1","a","93.75","e1a"
"14","mdoyl11","isds1102s3","mdoyl11_e1a_1536184635515.xlsx","2018-09-05 21:46:39","e1","a","93.75","e1a"
"15","mdoyl11","isds1102s3","mdoyl11_e1b_1536500467963.xlsx","2018-09-09 13:30:22","e1","b","100.0","e1b"
"16","mdoyl11","isds1102s3","mdoyl11_e1b_1536500486084.xlsx","2018-09-09 13:30:38","e1","b","100.0","e1b"
"17","mdoyl11","isds1102s3","mdoyl11_e1c_1536502598900.xlsx","2018-09-09 14:05:53","e1","c","100.0","e1c"
"18","mdoyl11","isds1102s3","mdoyl11_e1d_1536503862296.xlsx","2018-09-09 14:26:54","e1","d","100.0","e1d"
"19","mand123","isds1102s3","mand123_e1a_1536183028426.xlsx","2018-09-05 21:19:52","e1","a","100.0","e1a"
"20","mand123","isds1102s3","mand123_e1b_1536191077581.xlsx","2018-09-05 23:34:01","e1","b","100.0","e1b"
"21","mand123","isds1102s3","mand123_e1c_1536543574453.xlsx","2018-09-10 01:28:45","e1","c","96.6666666667","e1c"
"22","mand123","isds1102s3","mand123_e1d_1536544580682.xlsx","2018-09-10 01:45:31","e1","d","83.3333333333","e1d"
"23","nnibla1","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"24","sengli8","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"25","bfruge9","isds1102s3","bfruge9_e1a_1536182815450.xlsx","2018-09-05 21:16:19","e1","a","93.75","e1a"
"26","bfruge9","isds1102s3","bfruge9_e1a_1536182966237.xlsx","2018-09-05 21:18:50","e1","a","100.0","e1a"
"27","bfruge9","isds1102s3","bfruge9_e1b_1536206959761.xlsx","2018-09-06 03:58:42","e1","b","100.0","e1b"
"28","mmar254","isds1102s3","mmar254_e1a_1536182427488.xlsx","2018-09-05 21:09:51","e1","a","93.75","e1a"
"29","jporc13","isds1102s3",NA,NA,NA,NA,NA,"NANA"
"30","cvanfo1","isds1102s3","cvanfo1_e1a_1536522869740.xlsx","2018-09-09 19:43:41","e1","a","75.0","e1a"
"31","cvanfo1","isds1102s3","cvanfo1_e1b_1536530182305.xlsx","2018-09-09 21:45:33","e1","b","75.0","e1b"
"32","cvanfo1","isds1102s3","cvanfo1_e1c_1536597897365.xlsx","2018-09-10 16:34:06","e1","c","34.5","e1c"
"33","cvanfo1","isds1102s3","cvanfo1_e1d_1536599229625.xlsx","2018-09-10 16:56:18","e1","d","100.0","e1d"
"34","telli21","isds1102s3","telli21_e1a_1536182478112.xlsx","2018-09-05 21:10:42","e1","a","93.75","e1a"
"35","telli21","isds1102s3","telli21_e1a_1536182924190.xlsx","2018-09-05 21:18:08","e1","a","100.0","e1a"
